filename,instance_idx,oks,iou,conf,detected
6-2-144_jpg.rf.58f03b2e3a1ae37ef1bb58def06f24db,1,0.8598940061325476,0.8459886785086863,0.884550929069519,True
6-2-144_jpg.rf.58f03b2e3a1ae37ef1bb58def06f24db,2,0.8578782354629277,0.8873912845498839,0.8901998996734619,True
6-2-157_jpg.rf.d0483a3749ae1b4e8e440d6704dd4697,0,0.9846099111820005,0.8687043682712535,0.9049850702285767,True
6-2-168_jpg.rf.6b032dca82aab9d837b0971af905255e,0,0.9420458861519371,0.8133971291866029,0.8599427342414856,True
6-2-168_jpg.rf.6b032dca82aab9d837b0971af905255e,1,0.9020679718966725,0.6994032994032994,0.8432832956314087,True
6-2-215_jpg.rf.0eac67ac77bbb5c56137aaf26b2a93f7,0,0.9777374977920946,0.938889405636685,0.8862380385398865,True
6-2-256_jpg.rf.5d2e7163cda66b3fe488d730c01e1c9f,0,0.9931545937785696,0.8810165575664228,0.8890589475631714,True
6-2-50_jpg.rf.c76fa5a83f793d90118007b46adfb625,0,0.9251356091936874,0.9574175035868006,0.8514155149459839,True
6-2-53_jpg.rf.e12c490fa20722b1d65c9a4750700b51,0,0.8723971177220812,0.8837031369548585,0.8648512959480286,True
6-2-53_jpg.rf.e12c490fa20722b1d65c9a4750700b51,1,0.905066998532493,0.9129087779690189,0.8618242740631104,True
6-2-5_jpg.rf.7a6a5887783cfa57c0bc8988d9f7df0a,0,0.8778570004536578,0.7872085276482345,0.6945106983184814,True
6-2-68_jpg.rf.baa66175a36494d24c16535ecf2e7103,0,0.875054576842675,0.800481325496367,0.8165561556816101,True
6-2-78_jpg.rf.77e6e7448613354a2f105cb051eb7fea,0,0.9390056834419229,0.872753893251697,0.87266606092453,True
6-2-80_jpg.rf.59400b615464026027aba2847f0ba89f,0,0.9588333068706215,0.754108485499463,0.8575054407119751,True
6-2-81_jpg.rf.4be81bdca3f7c3239d100c6027b3c2a6,0,0.7440790337247112,0.8862478777589134,0.8954718112945557,True
6-2-83_jpg.rf.0f5fd6a18a74cf78a634fd104ce7cf78,0,0.9914637343226492,0.9135632355131834,0.8681641221046448,True
7-1-13_jpg.rf.52767ae3702b2a6214d68fe173d45249,0,0.9588616595451632,0.7764820213799806,0.8652797937393188,True
7-1-18_jpg.rf.c77f9dfe29125b3af4d5e422dc957149,0,0.9526329951985352,0.8465116279069768,0.8476085662841797,True
7-1-18_jpg.rf.c77f9dfe29125b3af4d5e422dc957149,1,0.9393399947594018,0.8647798742138365,0.8778350353240967,True
7-1-18_jpg.rf.c77f9dfe29125b3af4d5e422dc957149,2,0.863955319071663,0.8968595568308624,0.891825258731842,True
7-1-21_jpg.rf.1c94341e347a5619d6d533587214a38d,0,0.534334903600807,0.6437587657784011,0.7804504632949829,True
7-1-21_jpg.rf.1c94341e347a5619d6d533587214a38d,1,0.8506057521652499,0.726027397260274,0.7659161686897278,True
7-1-21_jpg.rf.1c94341e347a5619d6d533587214a38d,2,0.7780840926638871,0.7054673721340388,0.6873669028282166,True
7-1-32_jpg.rf.5fff691d396ad6fb5af6bb214432862a,0,0.8439259692824597,0.8123076923076923,0.7174467444419861,True
7-2-100_jpg.rf.14e97388edf5dced857a60f0f736011e,0,0.719022489315468,0.6206896551724138,0.6857162117958069,True
7-2-119_jpg.rf.77caec442c086cd5fe9182a61cce5fdf,0,0.9614057596542057,0.8176713566541887,0.859601616859436,True
7-2-131_jpg.rf.13aa309e531044bc4f47c900c4699673,0,0.8073111356831503,0.9529970520799214,0.8529331088066101,True
7-2-30_jpg.rf.72d59d4a4c92c406ee2f1f0f87407bf5,0,0.3160092157694022,0.845337267152609,0.8548749089241028,True
7-2-37_jpg.rf.3e429d7a11245169ef1b4a1902b8e19e,0,0.9133203865969608,0.842198190244979,0.7985985279083252,True
7-2-86_jpg.rf.eeda13a8c60069e5630317da0c989266,0,0.9837967318862587,0.6197333333333334,0.8871462345123291,True
