filename,instance_idx,uid,keypoint,error,outlier
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#0,BL1,0.04338042566689121,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#1,AOI,0.014638017737323988,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#1,BL2,0.03707058241466753,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#1,IS2,0.012542249256353244,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#1,IAC,0.01239501298979909,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#1,IS1,0.00965470995848058,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#1,BL1,0.07134056738395542,False
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969#0,AOI,0.00757135667960169,False
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969#0,BL2,0.0025585632067605005,False
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969#0,IS2,0.020288097988749997,False
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969#0,IAC,0.021069700804020212,False
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969#0,IS1,0.011879996140204638,False
