filename,instance_idx,keypoint,d_px,area_px
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,IS1,12.97053507,14827.4
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,BL1,19.49197857,14827.4
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,AOI,1.554879261,14053.05
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,BL2,3.525314203,14053.05
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,IS2,4.553639182,14053.05
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,IAC,2.061180015,14053.05
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,IS1,6.424261574,14053.05
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,BL1,6.488970456,14053.05
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,AOI,4.069488537,11617.8
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,BL2,26.35726211,11617.8
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,IS2,3.572111589,11617.8
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,IAC,4.931259803,11617.8
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,IS1,4.730283311,11617.8
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,BL1,1.767632931,11617.8
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,AOI,2.214740162,14642.1
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,BL2,5.822278314,14642.1
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,IS2,4.487688605,14642.1
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,IAC,3.497549345,14642.1
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,IS1,4.999596265,14642.1
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,BL1,21.68611031,14642.1
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,AOI,1.556943877,12435.5
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,BL2,33.09781952,12435.5
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,IS2,2.292472285,12435.5
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,IAC,1.987420575,12435.5
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,IS1,0.8679783688,12435.5
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,BL1,17.14358698,12435.5
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,AOI,6.258384515,16438.15
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,BL2,9.316236397,16438.15
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,IS2,12.19227874,16438.15
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,IAC,10.73152354,16438.15
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,IS1,10.10268747,16438.15
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,BL1,5.270085435,16438.15
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,AOI,4.365832688,15752.2
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,BL2,36.26600446,15752.2
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,IS2,3.741508425,15752.2
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,IAC,0.4516584251,15752.2
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,IS1,4.700909067,15752.2
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,BL1,23.87539204,15752.2
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,AOI,2.776095836,14637
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,BL2,3.690057838,14637
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,IS2,16.91622097,14637
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,IAC,24.44996968,14637
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,IS1,24.08906388,14637
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,BL1,11.0587049,14637
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,AOI,1.776738898,15508.25
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,BL2,11.29652197,15508.25
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,IS2,3.980572899,15508.25
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,IAC,5.873838878,15508.25
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,IS1,7.932858589,15508.25
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,BL1,3.872998696,15508.25
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,AOI,0.2990936333,18650.7
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,BL2,60.66222733,18650.7
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,IS2,5.048643297,18650.7
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,IAC,3.33752716,18650.7
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,IS1,0.8064050437,18650.7
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,BL1,22.47371092,18650.7
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,AOI,6.642331211,16488.3
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,BL2,7.19590749,16488.3
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,IS2,7.494525674,16488.3
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,IAC,4.303488374,16488.3
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,IS1,4.054953943,16488.3
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,BL1,4.384805908,16488.3
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,AOI,1.168300674,14871.6
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,BL2,40.98054042,14871.6
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,IS2,2.696871322,14871.6
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,IAC,1.645153362,14871.6
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,IS1,1.630276516,14871.6
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,BL1,32.92654628,14871.6
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,AOI,2.610425024,12552.8
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,BL2,4.012274162,12552.8
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,IS2,1.843133538,12552.8
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,IAC,1.314621876,12552.8
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,IS1,2.2042778,12552.8
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,BL1,1.428132418,12552.8
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,AOI,10.99936107,12042.8
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,BL2,36.99749721,12042.8
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,IS2,5.236021341,12042.8
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,IAC,4.824583985,12042.8
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,IS1,6.44227673,12042.8
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,BL1,63.82768899,12042.8
